08.06.2023|399.21|5039|896.5|14:08:28|48.0|14:28:37
09.06.2023|404.82|5609|904.5|14:46:31|50.9|14:14:22
10.06.2023|412.01|7197|906.3|14:39:35|51.1|14:36:51
11.06.2023|419.40|7389|891.2|14:40:16|52.6|14:34:48
12.06.2023|426.65|7243|885.2|14:24:57|51.5|14:52:09
13.06.2023|434.13|7486|866.1|14:13:54|50.2|14:30:19
14.06.2023|440.36|6224|949.3|15:14:01|43.1|15:44:28
15.06.2023|447.06|6707|892.5|14:24:45|47.8|15:14:21
16.06.2023|452.71|5650|978.6|15:45:37|47.6|14:26:09
17.06.2023|459.97|7261|879.3|14:30:42|51.4|14:43:41
18.06.2023|466.56|6583|831.3|13:17:22|53.3|14:43:38
19.06.2023|472.26|5702|885.3|13:57:52|51.8|13:45:34
20.06.2023|477.39|5128|929.8|14:07:36|50.0|15:49:12
21.06.2023|483.06|5665|901.8|14:56:23|50.9|15:23:06
22.06.2023|488.57|5511|916.0|14:16:32|52.4|14:06:57
23.06.2023|491.35|2774|924.4|16:18:24|37.7|16:57:05
24.06.2023|497.96|6616|915.7|15:07:58|51.5|14:25:13
25.06.2023|505.19|7226|874.3|14:55:29|55.9|14:59:09
26.06.2023|511.19|6007|901.1|14:43:39|48.8|15:32:38
27.06.2023|516.00|4808|974.2|14:47:18|44.2|15:40:02
28.06.2023|521.16|5154|943.0|14:59:22|44.7|16:07:51
29.06.2023|525.25|4089|792.5|11:40:02|43.3|11:34:34
30.06.2023|527.62|2370|906.8|15:53:17|37.4|17:41:47
01.07.2023|530.78|3159|740.2|10:35:12|34.2|09:43:28
02.07.2023|535.21|4438|997.8|16:09:09|37.9|15:44:48
03.07.2023|539.86|4652|993.5|15:15:41|39.8|14:56:07
04.07.2023|546.31|6448|903.4|14:19:46|45.7|15:20:06
05.07.2023|551.69|5373|985.4|14:51:39|39.9|14:33:30
06.07.2023|557.66|5973|955.2|15:02:42|43.6|12:50:06
07.07.2023|565.02|7363|842.9|13:53:43|51.9|14:54:22
08.07.2023|571.76|6738|925.3|15:20:08|55.0|15:22:12
09.07.2023|577.93|6170|798.2|13:18:40|56.7|14:40:18
10.07.2023|583.27|5339|930.8|14:43:23|48.2|15:14:16
11.07.2023|589.95|6680|903.0|14:31:42|53.5|14:00:52
12.07.2023|596.33|6380|938.4|15:12:03|50.4|15:00:03
13.07.2023|601.58|5252|979.5|15:16:13|42.5|12:49:13
14.07.2023|607.40|5820|951.0|15:31:44|47.6|15:31:23
15.07.2023|610.52|3117|916.0|15:21:53|44.1|15:24:38
16.07.2023|617.01|6487|918.2|14:51:45|48.1|14:25:22
17.07.2023|622.24|5236|950.1|15:53:52|44.4|14:37:05
18.07.2023|628.38|6135|940.6|14:35:35|45.9|15:22:53
19.07.2023|632.41|4027|925.6|15:08:40|40.8|11:32:37
20.07.2023|635.61|3208|922.9|14:39:15|37.6|11:33:10
21.07.2023|638.01|2400|642.5|12:06:41|32.3|12:15:36
22.07.2023|643.97|5960|764.0|14:21:47|35.4|14:41:24
23.07.2023|647.85|3872|902.8|11:10:59|46.3|13:10:17
24.07.2023|652.56|4710|873.2|13:41:09|43.4|12:42:26
25.07.2023|655.26|2701|944.8|15:15:08|37.3|15:18:52
26.07.2023|660.11|4849|938.1|15:14:01|37.9|15:49:37
27.07.2023|662.16|2047|587.3|14:39:39|28.9|15:20:04
28.07.2023|665.55|3387|936.3|15:17:31|39.1|15:33:57
29.07.2023|669.34|3796|938.1|14:29:02|42.3|15:44:05
30.07.2023|673.13|3791|966.9|16:09:35|39.1|16:15:04
31.07.2023|675.49|2358|736.0|13:24:13|32.6|16:25:30
01.08.2023|679.79|4301|949.8|15:23:37|40.0|15:48:40
02.08.2023|682.80|3004|996.0|15:36:00|33.6|17:19:29
03.08.2023|686.09|3292|990.0|16:32:06|34.9|17:20:27
04.08.2023|690.95|4861|951.5|14:49:31|40.6|14:30:10
08.08.2023|704.86|3516|831.7|12:14:22|35.3|11:41:42
09.08.2023|710.23|5363|935.6|13:26:50|39.9|13:16:12
10.08.2023|717.22|6993|833.1|14:06:12|47.0|14:37:23
11.08.2023|723.87|6652|816.3|13:53:27|49.9|14:51:21
12.08.2023|727.48|3606|955.3|15:40:03|42.4|16:16:26
13.08.2023|730.93|3453|705.5|16:09:32|38.9|16:15:42
14.08.2023|735.37|4441|884.2|14:14:04|45.5|14:49:02
15.08.2023|739.26|3895|869.5|13:24:36|48.5|13:12:57
16.08.2023|743.21|3945|907.0|13:49:37|45.8|15:26:47
